Status,Tag Code,State,Agency,Rearing Code,Location (Facility or Wild Stock),Year Brood,Stock,Ancestry,Species,Stage,Weight,Length,Year Released,Release Site,Date Last Released,Ad Clipped and Tagged,Total Released,Experiment Code,Region Released,Mark Code,Thermal Mark Hatch Code,Thermal Mark RBr,Mark ID,Comment (PSMFC),,,Row Labels
TAGGED,44718,AK,ADFG,H,CRYSTAL LAKE,1995,CRYSTAL CR,ANDREW CR 108-40,CHINOOK,SMOLT       ,17.09,115,1997,CRYSTAL CR 106-44,5/29/1997,9821,53356,,1,AD,,,,REP: 044525 044526 044619 044717,,,PORT ST NICHOLAS CR 10360
TAGGED,44619,AK,ADFG,H,CRYSTAL LAKE,1995,CRYSTAL CR,ANDREW CR 108-40,CHINOOK,SMOLT       ,18.08,117,1997,CRYSTAL CR 106-44,5/29/1997,30064,326272,,1,AD,,,,REP: 044525 044526 044717 044718,,,PULLEN CR 115-34
TAGGED,44662,AK,ADFG,H,CRYSTAL LAKE,1996,CRYSTAL CR,ANDREW CR 108-40,CHINOOK,SMOLT       ,15.18,112,1998,CRYSTAL CR 106-44,5/26/1998,46166,610090,,1,AD,,,,,,,REDOUBT LK 113-41
TAGGED,40148,AK,ADFG,H,CRYSTAL LAKE,1997,CRYSTAL CR,ANDREW CR 108-40,CHINOOK,SMOLT       ,19.39,120,1999,CRYSTAL CR 106-44,5/18/1999,30304,335060,,1,AD,,,,,,,RESURRECTION BAY 231-30
TAGGED,40147,AK,ADFG,H,CRYSTAL LAKE,1997,CRYSTAL CR,ANDREW CR 108-40,CHINOOK,SMOLT       ,19.53,117,1999,CRYSTAL CR 106-44,5/19/1999,30243,335855,,1,AD,,,,,,,SALONIE CR 259-22
TAGGED,40422,AK,ADFG,H,CRYSTAL LAKE,1998,CRYSTAL CR,ANDREW CR 108-40,CHINOOK,SMOLT       ,9.9,94,2000,CRYSTAL CR 106-44,5/18/2000,61757,713569,,1,AD,,,,,,,SELDOVIA HBR 241-11
NOT TAGGED,!01741ADFG03,AK,ADFG,H,CRYSTAL LAKE,1972,NON ALASKA,,CHINOOK,SMOLT       ,26.84,,1974,DREDGE LK 111-50,4/30/1974,0,44227,,1,D,,,,WASHINGTON CARSON RIVER STOCK,,,SEWARD LAGOON 231-30
TAGGED,42616,AK,ADFG,H,CRYSTAL LAKE,1984,CRYSTAL CR,ANDREW CR 108-40,CHINOOK,,15.4,,1986,EARL WEST COV 107-40,5/29/1986,30311,98000,R,1,AD,,,,,,,SHAKESPEARE CREEK 224-10
TAGGED,42457,AK,ADFG,H,CRYSTAL LAKE,1985,CRYSTAL CR,ANDREW CR 108-40,CHINOOK,SMOLT       ,27.9,,1987,EARL WEST COV 107-40,5/25/1987,5560,45000,,1,AD,,,,,,,SHEEP CR 247-41
TAGGED,042734*2,AK,ADFG,H,CRYSTAL LAKE,1985,CRYSTAL CR,ANDREW CR 108-40,CHINOOK,SMOLT       ,27.9,,1987,EARL WEST COV 107-40,5/25/1987,857,866,O,1,AD,,,,,,,SHIP CR 247-50
