species,run,first_release_date,last_release_date,year,mon1,mon2,day1,day2,total,len_num,wt_len,release_stage,avg_length,cwt_1st_mark,cwt_1st_mark_count,cwt_2nd_mark,cwt_2nd_mark_count,non_cwt_1st_mark,non_cwt_1st_mark_count,non_cwt_2nd_mark,non_cwt_2nd_mark_count,release_location_name,release_location_state,areaName,area
1,2,198210,198210,1982,10,10,,,41421,0,0,F,,5000,23899,,,0,6501,5000,1021,R-King Cr Up/QCI,BC,Bccoast,6
1,1,198305,19830502,1983,5,5,,2,56310,0,0,S,,5000,46032,,,5000,278,,,R-Hirsch Cr,BC,Bccoast,6
1,2,19830712,19830721,1983,7,7,12,21,77932,0,0,S,,5000,12151,,,0,55683,5000,98,R-Yakoun R,BC,Bccoast,6
1,2,19830615,19830617,1983,6,6,15,17,56997,0,0,S,,5000,38738,,,5000,8259,,,R-Atnarko R Low,BC,Bccoast,6
1,2,19860401,19860430,1986,4,4,1,30,26992,0,0,Y,,5000,21992,,,,,,,R-Babine R,BC,Bccoast,6
1,2,19830712,19830721,1983,7,7,12,21,154068,0,0,S,,5000,25536,,,0,118326,5000,206,R-Yakoun R,BC,Bccoast,6
1,1,19830502,19830503,1983,5,5,2,3,54759,0,0,S,,5000,43192,,,5000,1567,,,R-Kitimat R,BC,Bccoast,6
1,1,198304,19830426,1983,4,4,,26,47700,0,0,F,,5000,32924,,,0,3828,5000,948,R-Cedar R,BC,Bccoast,6
1,1,198304,19830428,1983,4,4,,28,49555,0,0,F,,5000,24237,,,0,14568,5000,750,R-Cedar R,BC,Bccoast,6
1,2,19830615,19830617,1983,6,6,15,17,126866,0,0,S,,5000,68741,,,0,40743,5000,7382,R-Atnarko R Low,BC,Bccoast,6
1,2,19841115,19841121,1984,11,11,15,21,15173,0,0,F,,5000,9976,,,0,197,,,R-Zymoetz (Copper) R,BC,Bccoast,6
1,2,19840522,19840531,1984,5,5,22,31,127396,0,0,S,,5000,36266,,,0,78289,5000,2841,R-Atnarko R Low,BC,Bccoast,6
1,2,19840522,19840531,1984,5,5,22,31,130977,0,0,S,,5000,36545,,,0,80677,5000,3755,R-Atnarko R Low,BC,Bccoast,6
1,2,19840522,19840531,1984,5,5,22,31,180322,0,0,S,,5000,53399,,,0,113584,5000,3339,R-Atnarko R Low,BC,Bccoast,6
1,1,19840508,19840513,1984,5,5,8,13,882090,0,0,S,,5000,42762,,,0,828276,5000,1052,R-Kitimat R Low,BC,Bccoast,6
1,1,19840511,19840513,1984,5,5,11,13,67995,0,0,S,,5000,53590,,,0,3031,5000,1374,R-Hirsch Cr,BC,Bccoast,6
1,1,19840514,19840515,1984,5,5,14,15,121600,0,0,S,,5000,48130,,,0,62083,5000,1387,R-Kildala R,BC,Bccoast,6
1,1,19840507,19840509,1984,5,5,7,9,52190,0,0,S,,5000,39294,,,0,2053,5000,843,R-Kitimat R Up,BC,Bccoast,6
1,2,19840522,19840531,1984,5,5,22,31,83943,0,0,S,,5000,23976,,,0,49311,5000,656,R-Atnarko R Low,BC,Bccoast,6
1,2,19840522,19840531,1984,5,5,22,31,83943,0,0,S,,5000,23976,,,0,49311,5000,656,R-Atnarko R Low,BC,Bccoast,6
1,2,198406,19840606,1984,6,6,,6,35716,0,0,F,,5000,30716,,,,,,,R-Kitsumkalum R,BC,Bccoast,6
1,2,198406,19840605,1984,6,6,,5,63318,0,0,F,,5000,50023,,,5000,3295,,,R-Wannock R,BC,Bccoast,6
1,2,19840711,19840712,1984,7,7,11,12,80000,0,0,S,,5000,54462,,,0,14765,5000,773,R-Yakoun R,BC,Bccoast,6
1,2,198604,19860408,1986,4,4,,8,27268,0,0,Y,,5000,17031,,,0,152,5000,85,R-Zymoetz (Copper) R,BC,Bccoast,6
1,2,198511,19851107,1985,11,11,,7,26309,0,0,F,,5000,16227,,,5000,82,,,R-Zymoetz (Copper) R,BC,Bccoast,6
1,1,19850910,19850919,1985,9,9,10,19,43255,0,0,F,,5000,29735,,,0,3250,5000,270,R-Cedar R,BC,Bccoast,6
1,2,198604,19860407,1986,4,4,,7,44200,0,0,Y,,5000,30667,,,0,3472,5000,61,R-Marie Lk,BC,Bccoast,6
